NUQFUS;FECHA DE LA MEDICION;NOMBRE DEL LABORATORIO;TIPO DE LABORATORIO;PH;CONDUCTIVIDAD;NITRATOS
1122;2015-01-14T00:00:00.000;IBAL;1;8.52;361;1
1123;2015-01-14T00:00:00.000;IBAL;1;8.26;152;2.1
1124;2015-01-14T00:00:00.000;IBAL;1;7.96;89;2
1122;2015-02-18T00:00:00.000;IBAL;1;8.28;367;1.9
1123;2015-02-18T00:00:00.000;IBAL;1;8.1;157;0.9
1124;2015-02-18T00:00:00.000;IBAL;1;8.2;87;1.3
1122;2015-03-11T00:00:00.000;IBAL;1;8.34;383;1.2
1123;2015-03-11T00:00:00.000;IBAL;1;8.22;159;0.7
1124;2015-03-11T00:00:00.000;IBAL;1;8;86;1.6
1122;2015-04-15T00:00:00.000;IBAL;1;8.21;292;1.1
1123;2015-04-15T00:00:00.000;IBAL;1;8.18;140;1.8
1124;2015-04-15T00:00:00.000;IBAL;1;7.95;80;1.3
1122;2015-05-13T00:00:00.000;IBAL;1;8.21;354;0.9
1123;2015-05-13T00:00:00.000;IBAL;1;8.08;149;1.3
1124;2015-05-13T00:00:00.000;IBAL;1;8.07;85;0.7
1122;2015-06-17T00:00:00.000;IBAL;1;8.24;289;1.7
1123;2015-06-17T00:00:00.000;IBAL;1;8.15;148;1
1124;2015-06-17T00:00:00.000;IBAL;1;8.07;87.3;1.7
1122;2015-07-15T00:00:00.000;IBAL;1;8.24;339;0.9
1123;2015-07-15T00:00:00.000;IBAL;1;8.15;151;0.8
1124;2015-07-15T00:00:00.000;IBAL;1;8.07;89.7;1.5
1122;2015-08-12T00:00:00.000;IBAL;1;8.24;355;1.7
1123;2015-08-12T00:00:00.000;IBAL;1;8.09;153;0.9
1124;2015-08-12T00:00:00.000;IBAL;1;7.95;92;1.3
1122;2015-09-16T00:00:00.000;IBAL;1;8.02;355;1.8
1123;2015-09-16T00:00:00.000;IBAL;1;8.14;153;0.8
1124;2015-09-17T00:00:00.000;IBAL;1;7.82;92;0.9
1122;2015-10-14T00:00:00.000;IBAL;1;7.92;220;3.2
1123;2015-10-14T00:00:00.000;IBAL;1;8.01;150;2.2
1124;2015-10-14T00:00:00.000;IBAL;1;8.01;88.2;1.7
1122;2015-11-12T00:00:00.000;IBAL;1;8.12;314;1.3
1123;2015-11-12T00:00:00.000;IBAL;1;8.06;156;0.6
1124;2015-11-12T00:00:00.000;IBAL;1;7.93;96;1.1
1122;2015-12-02T00:00:00.000;IBAL;1;8.3;347;2.8
1123;2015-12-02T00:00:00.000;IBAL;1;8.29;165;1.5
1124;2015-12-02T00:00:00.000;IBAL;1;7.73;99;0.6
1122;2016-01-20T00:00:00.000;IBAL;1;8.25;396;1.3
1123;2016-01-20T00:00:00.000;IBAL;1;8.19;164;1.5
1124;2016-01-20T00:00:00.000;IBAL;1;8.11;103;1.2
1122;2016-02-17T00:00:00.000;IBAL;1;8.27;407;1.1
1123;2016-02-17T00:00:00.000;IBAL;1;8.2;163;0.5
1124;2016-02-17T00:00:00.000;IBAL;1;8.32;97.5;0.8
1122;2016-03-16T00:00:00.000;IBAL;1;8.38;413;1.9
1123;2016-03-16T00:00:00.000;IBAL;1;8.25;168;1
1124;2016-03-16T00:00:00.000;IBAL;1;8.54;92;1.2
1122;2016-04-20T00:00:00.000;IBAL;1;8.46;367;1
1123;2016-04-20T00:00:00.000;IBAL;1;8.6;159;0.8
1124;2016-04-20T00:00:00.000;IBAL;1;8.38;80;1.1
