PH	CONDUCTIVIDAD	NITRATOS
8.52	361	1
8.26	152	2.1
7.96	89	2
8.28	367	1.9
8.1	157	0.9
8.2	87	1.3
8.34	383	1.2
8.22	159	0.7
8	86	1.6
8.21	292	1.1
8.18	140	1.8
7.95	80	1.3
8.21	354	0.9
8.08	149	1.3
8.07	85	0.7
8.24	289	1.7
8.15	148	1
8.07	87.3	1.7
8.24	339	0.9
8.15	151	0.8
8.07	89.7	1.5
8.24	355	1.7
8.09	153	0.9
7.95	92	1.3
8.02	355	1.8
8.14	153	0.8
7.82	92	0.9
7.92	220	3.2
8.01	150	2.2
8.01	88.2	1.7
8.12	314	1.3
8.06	156	0.6
7.93	96	1.1
8.3	347	2.8
8.29	165	1.5
7.73	99	0.6
8.25	396	1.3
8.19	164	1.5
8.11	103	1.2
8.27	407	1.1
8.2	163	0.5
8.32	97.5	0.8
8.38	413	1.9
8.25	168	1
8.54	92	1.2
8.46	367	1
8.6	159	0.8
8.38	80	1.1
8.21	328	1.1
8.2	157	2.4
8.51	86	1
8.07	153	2.3
8.14	158	1.6
8.1	91	0.7
8.13	265	1.2
8.19	156	1
8.16	142	0.8
8.09	305	0.9
8.35	154	1.1
8	93	1.4
8.37	302	1.7
8.36	157	1.3
7.98	92.1	0.8
8.24	327	1.6
8.23	165	0.7
8.08	97	0.6
8.21	298	0.8
8.17	157.3	0.9
8.03	97	1
8.41	336	2.8
8.3	173	1.3
8.01	106	0.9
8.23	256	1.3
8.31	190	1.9
8.15	82	1.2
8.1	304	2.9
7.67	275	2
7.74	67.8	0.9
8.24	287	1.8
8.01	162	2.6
7.81	92	3
8.09	287	1
8	149	1.2
7.96	91	1.5
7.96	215	10.7
8.03	146	0.9
7.94	83	0.9
8.21	252	2.9
8.24	135	2.7
8.06	70	1.5
8.12	256	2.1
8.08	150	1.5
8.01	80	1
8.27	355	1.2
8.17	156	1
8.34	90	0.9
8.19	266	3.1
8.2	119	3.3
7.93	75	1.9
8.22	283	0.8
8.17	146	0.7
8.27	77.4	0.2
8.34	271	2.8
8.18	118	1.1
7.92	80	1.3
8.24	265	2.6
8.3	142	0.9
8.23	73	1.6
8.32	335	1.1
8.4	161	1.1
8.33	87	0.5
8.23	321	1.5
8.22	157	1.6
8.13	90	1.3
8.4	341	
8.57	148	
8.33	81	
8.27	251	2.8
8.3	145	1.2
7.91	81	1.5
8.08	196	
8.1	133	
8.19	78	
8.2	188	
8.23	129	
8.11	73	
8.05	282	0.6
8.04	139	0.3
8.16	78	0.8
8.16	223	2
8.18	139	1
8.01	125	0.8
8.17	301	1.9
8.26	145	0.5
8.12	82	0.5
8.12	313	1
8.08	155	0.7
8.11	88	1.5
8.12	383	0.5
8.28	150	0.9
8.43	86.7	1.2
8.39	319	1.3
8.5	151	0.7
8.14	90	0.8
8.33	366	0.8
8.25	155	0.8
8.19	89	1
8.24	329	2
8.22	138	1
8.18	79.3	1.6
8.15	284	1.1
8.22	122	0.6
8.16	66	0.8
8.02	288	0.4
7.8	125.3	0.6
8.09	69.1	0.7
7.82	234	0.1
7.76	120	1
7.67	246	1.6
7.62	125	2
7.91	67.9	1.2
7.77	239	2.8
7.73	128	1
8.48	70	2.5
7.95	371	1.4
7.77	166	0.7
8.22	89.8	1
7.86	269	2.2
8.17	161	0.4
8.2	87	0.6
7.91	274	1.2
7.72	147	2.6
7.45	78	2.8
7.9	371	2.3
7.93	228	1.6
8.11	126	1.6
7.98	360	1.6
7.8	190	0.3
7.76	99	2.9
8.4	372.000	2.8
8.33	173.000	2.5
7.95	85.000	1
8.12	336.000	1.2
8	152.000	0.8
7.47	86.000	1.1
8.08	351.00	1.3
7.94	175.00	1.2
7.82	100.00	0.9
7.9	338.00	0.7
7.73	180.00	0.8
7.77	104.00	0.7
8.05	361.000	0.9
7.78	215.000	1
7.79	99.000	1.2
8.1	358.000	0.5
7.97	214.000	0.6
7.86	99.900	0.5
8.09	267.000	2.8
7.93	173.000	0.5
7.83	94.700	0.7
8.02	360.000	1.1
7.74	164.000	1.2
7.5	85.000	0.09
7.95	372.000	2
7.88	168.000	2.2
7.85	91.000	1.3
7.43	390.000	1
4.37	175.000	0.7
3.99	92.000	1.2
8.01	242.00	1.7
8.02	155.000	1.4
7.97	81.000	0.5
8.16	336.00	0.8
7.9	155.00	0.9
7.95	88.400	0.9
7.7	239	1.5
7.69	152	1.3
7.64	81.3	2.3
7.97	231.000	2.9
7.98	151.000	2.7
7.82	84.200	1.4
7.87	234.000	1.2
7.84	136.000	1.5
7.95	74.100	1.3
7.93	223.000	1.2
7.76	128.000	1.5
7.76	70.200	1.6
7.7	223.000	1.1
7.66	131.000	1.2
7.66	74.900	2.1
8.17	275	2.4
7.9	135	1.9
7.89	74.3	0.8
8.09	259	1.5
8.1	260	2.1
7.65	76.0	1
8.16	300	2
7.93	140	0.8
7.84	77.3	1.1
8.18	341.000	1
7.95	144.000	0.7
7.95	78.400	2.1
8.21	369.000	1.2
8.1	146.000	1
7.58	93.60	0.5
